RCR;ISIL;LIBELLE
620606201;FR-620606201;AUXI-LE-CHATEAU-Médiathèque
620616201;FR-620616201;AVERDOINGT-Méd.
620656201;FR-620656201;AVION-Mediatheque Emile Zola
621086201;FR-621086201;BERCK/MER-BM
621192101;FR-621192101;BETHUNE-BU Sc. appliquées
621196201;FR-621196201;BETHUNE-BM E.Wiesel
621196202;FR-621196202;BETHUNE-BM Jean Buridan
621266201;FR-621266201;BEUVRY-Médiathèque
621336201;FR-621336201;BILLY-MONTIGNY-Médiathèque
621486201;FR-621486201;Bois-Bernard-BM
621566201;FR-621566201;BONNINGUES-LES-CALAIS-Médiath.
621602101;FR-621602101;BOULOGNE-BU Droit Lettres
621602201;FR-621602201;BOULOGNE-IUP/H.I.P.A.
621602202;FR-621602202;BOULOGNE/MER-Palais impérial
621602203;FR-621602203;BOULOGNE/MER-CEUPAMA
621606201;FR-621606201;BOULOGNE/MER-BM
621786201;FR-621786201;BRUAY LA BUSSIERE-BM
621866201;FR-621866201;BULLY LES MINES-BM
621932101;FR-621932101;CALAIS-BU Sciences
621935101;FR-621935101;CALAIS-Cité dentelle et mode
621936201;FR-621936201;CALAIS-Mediatheque L.Aragon
622156201;FR-622156201;CARVIN-BM
622446201;FR-622446201;COULOGNE-Médiath. l'Octogone
622496201;FR-622496201;Courcelles-Les-Lens-BM
622506201;FR-622506201;COURRIERES-Médiathèque
622636201;FR-622636201;DAINVILLE-Médiathèque
622746201;FR-622746201;DOURGES-BM
622776201;FR-622776201;Drocourt-BM
623186201;FR-623186201;ETAPLES-BM
623616201;FR-623616201;FREVENT-Médiathèque
623866201;FR-623866201;GRENAY-Médiathèque
624136201;FR-624136201;HARNES-BM
624276201;FR-624276201;HENIN BEAUMONT-BM
624476201;FR-624476201;HESDIN-Bibliothèque Historique
624476202;FR-624476202;HESDIN-Médiathèque
624736201;FR-624736201;ISBERGUES-Médiathèque
624896201;FR-624896201;LAPUGNOY-Médiath. municipale
624976201;FR-624976201;Leforest-BM
624982102;FR-624982102;LENS-BU Sciences
624982201;FR-624982201;LENS-BU IUT
624982203;FR-624982203;LENS-CRIL
624985101;FR-624985101;LENS-Bib. Musée Louvre
624986201;FR-624986201;LENS-Méd. Robert Cousin
625102101;FR-625102101;LIEVIN-BU STAPS
625106201;FR-625106201;LIEVIN-BM
625166301;FR-625166301;LILLIERS-BDP Annexe
625252101;FR-625252101;LONGUENESSE/LITTORAL-BU
625286201;FR-625286201;LOOS/GOHELLE-BM
625706201;FR-625706201;MERICOURT-Méd. La Gare
625736201;FR-625736201;MEURCHIN-BM
625876201;FR-625876201;MONTIGNY EN GOHELLE-Méd.
626246201;FR-626246201;Noyelles-Godault-BM
626376201;FR-626376201;Oignies-BM
626432201;FR-626432201;OUTREAU-INSPÉ
626436201;FR-626436201;OUTREAU-BM
626456201;FR-626456201;OYE-PLAGE-BM
626526201;FR-626526201;PERNES-Méd.
626676201;FR-626676201;LE PORTEL-Médiathèque
627246201;FR-627246201;Rouvroy-BM
627466201;FR-627466201;SAINT-ETIENNE-AU-MONT-Médiath.
627536201;FR-627536201;ST-LAURENT-BLANGY-BM
627646201;FR-627646201;SAINT-NICOLAS-LEZ-ARRAS-Mediath.
627656201;FR-627656201;SAINT OMER-BM
627676201;FR-627676201;ST POL/TERNOISE-BM Fonds anciens
627716201;FR-627716201;SALLAUMINES-Bib. A. de la Halle
628426201;FR-628426201;VENDIN LE VIEIL-Médiathèque
628816201;FR-628816201;WAVANS-Médiathèque
628932201;FR-628932201;WIMEREUX/LITTORAL-M.R.E.N.
628936201;FR-628936201;WIMEREUX-Médiathèque
628936301;FR-628936301;WIMEREUX-BDP Annexe
629076201;FR-629076201;Libercourt-BM
630036201;FR-630036201;AMBERT-Méd. municipale
630142101;FR-630142101;CLERMONT FD-BU Sci.et Tech.
630142201;FR-630142201;CLERMONT-FERRAND-LMGE
630142203;FR-630142203;CLERMONT FD-BUFR Mathématiques
630142204;FR-630142204;AUBIERE-Lab.Phys.Corpusculaire
630142221;FR-630142221;CLERMONT FD-LIMOS
630146201;FR-630146201;AUBIERE-Bib. Communautaire
630196201;FR-630196201;AULNAT-Méd. Rêve et Savoir
630322301;FR-630322301;ST GENES CHAMP.-INRA Theix
630426401;FR-630426401;BLANZAT-Médiath. A. Césaire
630426402;FR-630426402;CLERMONT-FD-Bib. Neyrat
630696201;FR-630696201;LE CENDRE-Médiathèque
630752201;FR-630752201;CLERMONT-FD-INSPE
630755101;FR-630755101;CHAMALIERES-INSEE Auvergne
630755205;FR-630755205;CHAMALIERES-CR Auvergne
630755301;FR-630755301;CHAMALIERES-Bibl. Richelieu
630756201;FR-630756201;CHAMALIERES-Bib. Communautaire
631132101;FR-631132101;CLERMONT FD- BU Lettres  Rech
631132102;FR-631132102;CLERMONT FD-BU Lettres Ens
631132103;FR-631132103;CLERMONT FD-BU Droit Eco Managt
631132104;FR-631132104;CLERMONT FD-BU Santé
631132105;FR-631132105;CLERMONT FD-BUFR Philosophie
631132201;FR-631132201;CLERMONT FD-BUFR Français
631132202;FR-631132202;CLERMONT FD-BUFR Latin
631132203;FR-631132203;CLERMONT FD-BUFR Grec
631132204;FR-631132204;CLERMONT FD-BUFR Géogr.
631132205;FR-631132205;CLERMONT FD-BUFR Histoire
631132206;FR-631132206;CLERMONT FD-BUFR Etudes slaves
631132209;FR-631132209;CLERMONT FD-BUFR Anglais
631132210;FR-631132210;CLERMONT FD-BUFR Italien
631132211;FR-631132211;CLERMONT FD-BUFR Histoire Art
631132212;FR-631132212;CLERMONT FD-BUFR Linguistique
631132213;FR-631132213;CLERMONT FD-BUFR Allemand
631132214;FR-631132214;CLERMONT FD-MSH
631132215;FR-631132215;CLERMONT FD-BUFR Espagnol
631132218;FR-631132218;CLERMONT FD1-Droit
631132220;FR-631132220;CLERMONT FD1-Biopharmacie
631132222;FR-631132222;CLERMONT FD1-Clin.Neuro-Chirur.
631132223;FR-631132223;CLERMONT FD1-Médecine Travail
631132225;FR-631132225;CLERMONT FD1-Pharmacologie
631132226;FR-631132226;CLERMONT FD- BU Odontol.
631132227;FR-631132227;CLERMONT FD2-Sc.Terre
631132231;FR-631132231;CLERMONT-FERRAND-CERDI
631132232;FR-631132232;CLERMONT-FD-Inst. des Herbiers
631132233;FR-631132233;CLERMONT-FD-Métiers culture
631132234;FR-631132234;CLERMONT FD-Cartothèque
631132303;FR-631132303;CLERMONT FD-Ecole Architecture
631132304;FR-631132304;CLERMONT FD-ESCAE
631132306;FR-631132306;CLERMONT FD-Ecole Beaux Arts
631132307;FR-631132307;CLERMONT FD-UBP-CRFCB
631132308;FR-631132308;CLERMONT FD-INRA-Bib.Crouel
631132309;FR-631132309;CLERMONT FD-Bib. ITSRA
631135102;FR-631135102;CLERMONT FD-Archives Dép.
631135103;FR-631135103;CLERMONT FD-CRDP
631135104;FR-631135104;CLERMONT FD-Centre doc. cinéma
631135201;FR-631135201;CLERMONT FD-Trib.Administratif
631135202;FR-631135202;CLERMONT FD-DRAC
631135203;FR-631135203;CLERMONT FD-DRE
631135206;FR-631135206;CLERMONT FD-CHRU-Document.
631135208;FR-631135208;CLERMONT FD-DG Police nat.
631135209;FR-631135209;CLERMONT FD-CNR
631135210;FR-631135210;CLERMONT FD-Musee R.Quillot
631135211;FR-631135211;CLERMONT FD-Muséum hist. nat.
631135212;FR-631135212;CLERMONT-FD-CR Autisme Auvergne
631135213;FR-631135213;CLERMONT-FD-Musée Quilliot
631135401;FR-631135401;CLERMONT FD-Michelin
631135403;FR-631135403;CLERMONT-FERRAND-SHNA
631135404;FR-631135404;CLERMONT-FD-Académie SBLA
631136101;FR-631136101;CLERMONT FD-BCIU adultes
631136102;FR-631136102;CLERMONT-FD BM Patrimoine
631136301;FR-631136301;CLERMONT FD-BDP Puy de Dôme
631139902;FR-631139902;CLERMONT FD-Bib.électronique
631245101;FR-631245101;AUBIERE-BRGM
631246201;FR-631246201;COURNON D'AUVERGNE-Bib. com.
631646201;FR-631646201;GERZAT-Méd. Alphonse-Daudet
631786201;FR-631786201;ISSOIRE-Méd. G. Pompidou
631786301;FR-631786301;ISSOIRE-BDP Annexe
631932301;FR-631932301;CLERMONT-VetAgro Sup
631934001;FR-631934001;LEMPDES-LEGTA Marmilhat
631935201;FR-631935201;LEMPDES-DDT Puy de Dôme
631936201;FR-631936201;LEMPDES-Méd. Jacques Prévert
631956201;FR-631956201;LEZOUX-Med Entre Dore et Allier
632846201;FR-632846201;PONT-DU-CHATEAU-Bib.Alain Rey
633005101;FR-633005101;RIOM-Bib. Musée Mandet
633005402;FR-633005402;RIOM-Bib. AMTA
633006201;FR-633006201;RIOM-BM
633555201;FR-633555201;ST GERVAIS-PR Livradois/Forez
634306201;FR-634306201;THIERS-Mediatheque
640242101;FR-640242101;ANGLET-BU
640495301;FR-640495301;CERET-Centr.inter.Musica Popular
640636401;FR-640636401;ARZACQ/ARRAZIGUET-Bibl.
641022101;FR-641022101;BAYONNE-BU
641022201;FR-641022201;BAYONNE-CDRE
641022202;FR-641022202;BAYONNE-IKER
641025101;FR-641025101;BAYONNE-Archives pays basque
641025102;FR-641025102;BAYONNE-Muséum histoire nat.
641025201;FR-641025201;BAYONNE-Musée Basque
641025202;FR-641025202;BAYONNE-CH Côte Basque
641026201;FR-641026201;BAYONNE-BM
641026501;FR-641026501;BAYONNE-Bibl. diocésaine
641226201;FR-641226201;BIARRITZ-Médiathèque
641256201;FR-641256201;BIDART-BM
641296201;FR-641296201;BILLIERE-Médiathèsue d'Este
641605101;FR-641605101;CAMBO/BAINS-Musee Arnaga
641606201;FR-641606201;CAMBO LES BAINS-Med. municipale
642565101;FR-642565101;HASPARREN-Archives Municipales
642566301;FR-642566301;HASPARREN-BDP Annexe
642606201;FR-642606201;HENDAYE-Med. municipale
643005401;FR-643005401;LACQ-ARKEMA
644106201;FR-644106201;MOURENX-Médiathèque
644226201;FR-644226201;OLORON-STE-MARIE-Médiathèque
644305301;FR-644305301;ORTHEZ-Assoc. Francis Jammes
644306201;FR-644306201;ORTHEZ-Médiathèque
644452101;FR-644452101;PAU-BU
644452201;FR-644452201;PAU-INSPE
644452203;FR-644452203;PAU-Bibliothèque de l'ICL
644452204;FR-644452204;PAU-Bibliothèque de l'IPRA
644452206;FR-644452206;PAU-Bibliothèque ENSGTI
644452210;FR-644452210;PAU-Bibliothèque Recherche DEG
644455101;FR-644455101;PAU-Archives Départementales
644455102;FR-644455102;PAU-IFSI
644455103;FR-644455103;PAU-ESA Pyrénées Pau-Tarbes
644455104;FR-644455104;PAU-Archives communautaires
644455204;FR-644455204;PAU-Musée du château
644455301;FR-644455301;PAU-Sté Sci.Lettres&Arts
644455402;FR-644455402;PAU-CH
644456101;FR-644456101;PAU-BM Site MIAL
644456102;FR-644456102;PAU-BM Site UDT
644456201;FR-644456201;PAU-Usine des tramways
644456301;FR-644456301;PAU-BDP
644459901;FR-644459901;PAU-SCD-Bib. électronique
644836201;FR-644836201;ST JEAN DE LUZ-BM
644952301;FR-644952301;ST PEE/NIVELLE-Hybrobiologie
650595201;FR-650595201;BAGNERES DE BIGORRE-CBNPMP
650595401;FR-650595401;BAGNERES/BIGORRE-Ramond
650596201;FR-650596201;BAGNERES DE BIGORRE-BM
652846201;FR-652846201;LOUEY-BM
652865101;FR-652865101;LOURDES-Musee pyreneen
652865301;FR-652865301;TARBES-LOURDES Diocese sanctuair
652866201;FR-652866201;LOURDES-BM
653065301;FR-653065301;MAUVEZIN-Escola Gaston Febus
654402101;FR-654402101;PAU/TARBES- Dep. STAPS
654402201;FR-654402201;TARBES-IUT
654402301;FR-654402301;TARBES-ENIT
654402302;FR-654402302;TARBES-INSPE
654405102;FR-654405102;TARBES-Archives departementales
654405103;FR-654405103;TARBES-Archives municipales
654405104;FR-654405104;TARBES-Musée Massey
654405105;FR-654405105;TARBES-ESA Pyrenees Pau-Tarbes
654406201;FR-654406201;TARBES-Médiathèque
654406301;FR-654406301;TARBES-Médiathèque dep.
654526201;FR-654526201;TRIE SUR BAISE-Bib.
659726401;FR-659726401;VIC/BIGORRE-Mediatheque inter
660162201;FR-660162201;BANYULS/MER-BSU-Obs.Océano.
661242101;FR-661242101;FONT-ROMEU-BU
661242301;FR-661242301;FONT-ROMEU-Inst.Génie matéri
661362101;FR-661362101;PERPIGNAN-BU Sciences
661362102;FR-661362102;PERPIGNAN-BU Lettres-Sc.humaines
661362104;FR-661362104;PERPIGNAN-BU Droit-Sciences Eco.
661362105;FR-661362105;PERPIGNAN-BU Campus Mailly
661362201;FR-661362201;PERPIGNAN-INSPE-FDE
661362207;FR-661362207;PERPIGNAN-Lab.Mathématiques
661365101;FR-661365101;PERPIGNAN-Archives Dép.
661365102;FR-661365102;PERPIGNAN-CDA cultura catalana
661365103;FR-661365103;PERPIGNAN-Service documentation
661365104;FR-661365104;PERPIGNAN-Museum hist.Naturelle
661365105;FR-661365105;PERPIGNAN-Musée Hyacinthe Riga
661365106;FR-661365106;PERPIGNAN-Musée Joseph Puig
661365107;FR-661365107;PERPIGNAN-Cinémath. Jean Vigo
661365201;FR-661365201;PERPIGNAN-Cons.Nat.Musique
661365202;FR-661365202;PERPIGNAN-Ecole Beaux-Arts
661365302;FR-661365302;PERPIGNAN-Chambre agriculture
661365401;FR-661365401;PERPIGNAN-Sté Agri.Scient.Litt
661366201;FR-661366201;PERPIGNAN-BM
661366202;FR-661366202;PERPIGNAN-BM-Dep. catalan
661406201;FR-661406201;PEZILLA-LA-RIVIERE-Mediatheque
661716201;FR-661716201;ST CYPRIEN-Médiathèque
662106301;FR-662106301;THUIR-BDP Pyr.Orientales
670215101;FR-670215101;BARR-Musée de la Folie Marco
670216201;FR-670216201;BARR-Médiathèque
670436201;FR-670436201;BISCHHEIM-BM
670465101;FR-670465101;BISCHWILLER-Musee la Laub
670466201;FR-670466201;BISCHWILLER-Méd. municipale
670615201;FR-670615201;BOUXWILLER-Musée
670675201;FR-670675201;BRUMATH-CHS
670676201;FR-670676201;BRUMATH-Mediath. intercommunale
671304001;FR-671304001;ERSTEIN-LP Agricole
671306201;FR-671306201;ERSTEIN-Médiathèque
671802201;FR-671802201;HAGUENAU-IUT
671806201;FR-671806201;HAGUENAU-BM
672182102;FR-672182102;STRASBOURG-ILLKIRCH-IUT-Pharma
672182103;FR-672182103;STRASBOURG-ILLKIRCH-POLE API
672182203;FR-672182203;ILLKIRCH-Inst.Génétique et B
672182301;FR-672182301;ILLKRICH-Intern.Space Univ.
672185101;FR-672185101;Illkirch-Graffenstaden-Archives
672186201;FR-672186201;ILLKIRCH-Mediatheque Sud
672475401;FR-672475401;KOLBSHEIM-Centre Maritain
672676201;FR-672676201;LINGOLSHEIM-BM
673005201;FR-673005201;MOLSHEIM-Musee de la Chartreuse
673136201;FR-673136201;MUTZIG-Médiathèque
673396301;FR-673396301;BETSCHDORF-BDP Annexe
673484001;FR-673484001;OBERNAI-Lycée Agricole
673486201;FR-673486201;OBERNAI-Mediatheque municipale
673685401;FR-673685401;OTTROTT-Bib. Mont Sainte-Odile
674116201;FR-674116201;Rosheim-Médiathèque Josselma
674346301;FR-674346301;SARRE UNION-BDP Annexe
674375101;FR-674375101;SAVERNE-Musee Louise Weiss
674375401;FR-674375401;SAVERNE-Bib. SHASE
674376201;FR-674376201;SAVERNE-BM
674472201;FR-674472201;SCHILTIGHEIM-IUT
674475101;FR-674475101;SCHILTIGHEIM-Ch.Agric.Bas-Rhin
674485101;FR-674485101;Schirmeck-Mémo.Alsace Moselle
674622201;FR-674622201;SELESTAT-Bib. CFMI
674622301;FR-674622301;SELESTAT-BU Educ. Enseignement
674625101;FR-674625101;SELESTAT-Archives Municipales
674626201;FR-674626201;SELESTAT-BM
674626202;FR-674626202;SELESTAT-Bibl.Intercommunale
674821001;FR-674821001;STRASBOURG-BNU
674822101;FR-674822101;STRASBOURG-Medecine
674822103;FR-674822103;STRASBOURG-CARDO Sciences Po
674822104;FR-674822104;STRASBOURG-Recherche Juridique
674822105;FR-674822105;STRASBOURG-Bib.Faculte de droit
674822107;FR-674822107;STRASBOURG-Arts
674822110;FR-674822110;STRASBOURG-CUEJ
674822111;FR-674822111;STRASBOURG-Inst.du Travail
674822114;FR-674822114;STRASBOURG-Langues
674822117;FR-674822117;STRASBOURG-Sciences sociales
674822118;FR-674822118;STRASBOURG-Studium
674822119;FR-674822119;STRASBOURG-Histoire
674822135;FR-674822135;STRASBOURG-Géographie
674822138;FR-674822138;STRASBOURG-L'Alinéa
674822139;FR-674822139;STRASBOURG-ECPM
674822140;FR-674822140;STRASBOURG-PEGE
674822141;FR-674822141;STRASBOURG-MISHA
674822202;FR-674822202;STRASBOURG-Fac. Théologie
674822203;FR-674822203;STRASBOURG2-Et.Arabes/Islam.
674822204;FR-674822204;STRASBOURG-BUFR-Hist.médecine
674822205;FR-674822205;STRASBOURG-Pedagogie religieuse
674822206;FR-674822206;STRASBOURG-DRES
674822207;FR-674822207;STRASBOURG-Droit canonique
674822208;FR-674822208;STRASBOURG-Inst. Art et Archéo
674822211;FR-674822211;STRASBOURG2-Sanskrit/Sud-Asiat.
674822214;FR-674822214;STRASBOURG-H.Univ.-Anat.Normale
674822217;FR-674822217;STRASBOURG1-Inst.Histologie
674822220;FR-674822220;STRASBOURG1-Médecine Légale
674822221;FR-674822221;STRASBOURG1-Pathologies Tropic.
674822224;FR-674822224;STRASBOURG-H.Univ.-Physique Biol
674822225;FR-674822225;STRASBOURG-Orientale
674822226;FR-674822226;STRASBOURG-Bib. Etudes persanes
674822227;FR-674822227;STRASBOURG-IPCMS
674822231;FR-674822231;STRASBOURG-Maison science Alsace
674822232;FR-674822232;STRASBOURG-Bib. Etudes arabes
674822233;FR-674822233;STRASBOURG-Bib. Etudes hébr.
674822234;FR-674822234;STRASBOURG-Bib.Etudes néo-hell
674822235;FR-674822235;STRASBOURG-Bib. Ét. japonaises
674822239;FR-674822239;STRASBOURG2-Hongrois
674822243;FR-674822243;STRASBOURG1-Observ.Astronomique
674822246;FR-674822246;STRASBOURG-Jardin botanique
674822247;FR-674822247;STRASBOURG-Math.Informatiques
674822249;FR-674822249;STRASBOURG-EOST
674822251;FR-674822251;STRASBOURG-Géologie
674822252;FR-674822252;STRASBOURG1-Inst.Méc.Fluides
674822255;FR-674822255;STRASBOURG-Bib. Etudes slaves
674822274;FR-674822274;STRASBOURG2-Phonétique
674822278;FR-674822278;STRASBOURG2-Et.Scandinaves
674822281;FR-674822281;STRASBOURG2-Et. Hébrai͏̈ques
674822283;FR-674822283;STRASBOURG2-Et.Iraniennes
674822284;FR-674822284;STRASBOURG2-Roumain
674822292;FR-674822292;STRASBOURG-IREM
674822294;FR-674822294;STRASBOURG1-Hématol./Immunol.
674822295;FR-674822295;STRASBOURG-CEIPI
674822297;FR-674822297;STRASBOURG-GERSULP
674822299;FR-674822299;STRASBOURG-Bib. Etudes chinoises
674822305;FR-674822305;STRASBOURG-INSA
674822306;FR-674822306;STRASBOURG-Ecole Architecture
674822308;FR-674822308;STRASBOURG-Inst.Charles Sadron
674822313;FR-674822313;STRASBOURG-ENGEES
674822320;FR-674822320;STRASBOURG-BU Educ. Enseignement
674822322;FR-674822322;STRASBOURG-INSA-Bib. électr.
674825101;FR-674825101;STRASBOURG-Archives Dép.
674825102;FR-674825102;STRASBOURG-DRAC
674825103;FR-674825103;STRASBOURG-Istituto Italiano
674825107;FR-674825107;STRASBOURG-Bib.Musées
674825108;FR-674825108;STRASBOURG-Archives Municipales
674825109;FR-674825109;STRASBOURG-CRDP
674825111;FR-674825111;STRASBOURG-Port Autonome
674825113;FR-674825113;STRASBOURG-ORSAL
674825117;FR-674825117;STRASBOURG-Bib.Nature
674825118;FR-674825118;STRASBOURG-Centre T.Ungerer
674825119;FR-674825119;STRASBOURG-HEAR
674825120;FR-674825120;Strasbourg-Musée zoologique
674825201;FR-674825201;STRASBOURG-ONF
674825203;FR-674825203;STRASBOURG-H.Univ.-Clin.Dermato.
674825208;FR-674825208;STRASBOURG-H.Civil-Clin.Méd.B
674825212;FR-674825212;STRASBOURG-H.Univ.-Clin.Psychia.
674825247;FR-674825247;STRASBOURG1-Lab.Bactériologie
674825250;FR-674825250;STRASBOURG-Comm.Navig.Rhin
674825251;FR-674825251;STRASBOURG-Ponts&Chaussées
674825252;FR-674825252;STRASBOURG-Cons.Europe-Inf.Doc.
674825255;FR-674825255;STRASBOURG-Mediath. protestante
674825257;FR-674825257;STRASBOURG-Conserv.Nat.de Régi
674825259;FR-674825259;STRASBOURG-Cons.Europe-Bib.CEDH
674825260;FR-674825260;STRASBOURG-INSP
674825261;FR-674825261;STRASBOURG-Musée historique
674825262;FR-674825262;Strasbourg-Cercle genealogique
674825263;FR-674825263;Strasbourg-Bibalsatique-Credit M
674825301;FR-674825301;STRASBOURG-C.Cancer.P.Strauss
674825302;FR-674825302;STRASBOURG-Crédit Mutuel
674825303;FR-674825303;STRASBOURG-Union Ste Cécile
674825306;FR-674825306;STRASBOURG-Bibl.V.Marx
674825308;FR-674825308;STRASBOURG-Bibl.Pythagore
674825309;FR-674825309;SRASBOURG-Hist. Poste et Telecom
674825310;FR-674825310;STRASBOURG-CEDIDOCA
674825311;FR-674825311;Strasbourg-Fondation Notre-Dame
674825312;FR-674825312;STRASBOURG-Bib. Club vosgien
674825313;FR-674825313;STRASBOURG-Soc. vieux Strasbourg
674825406;FR-674825406;STRASBOURG-Grand Séminaire
674825407;FR-674825407;STRASBOURG-C.Et.Oecuméniques
674825409;FR-674825409;STRASBOURG-Bibl.Dominicains
674825410;FR-674825410;STRASBOURG-C.Européen Jeunesse
674825412;FR-674825412;STRASBOURG-Cercle genealogique
674825413;FR-674825413;STRASBOURG-Bib. Rédemptoristes
674826201;FR-674826201;STRASBOURG-BM
674826202;FR-674826202;STRASBOURG-Mediath. Austerlitz
674826203;FR-674826203;STARSBOURG-Bib. Rotterdam
674826204;FR-674826204;STRASBOURG-Artotheque Neudorf
674826205;FR-674826205;STRASBOURG-Bib. Robertsau
674826206;FR-674826206;STARSBOURG-Bib. Canardière
674826207;FR-674826207;STARSBOURG-Bib. Neuhof
674826208;FR-674826208;STRASBOURG-Hautepierre (jeunes)
674826209;FR-674826209;STRASBOURG-Hautepierre (adultes)
674826210;FR-674826210;STARSBOURG-Bib. Elsau
674826211;FR-674826211;STRASBOURG-Bib. de Cronenbourg
674826212;FR-674826212;STRASBOURG-Médiath. Meinau
674826213;FR-674826213;STARSBOURG-Hautepierre Tolstoï
674826214;FR-674826214;STRASBOURG-Bib. Eurométropole
674826301;FR-674826301;STRASBOURG-Bibliobus
674829902;FR-674829902;STRASBOURG-SBU-Bib. electronique
674829905;FR-674829905;STRASBOURG-BNUS-Bib. élec.
674829906;FR-674829906;STRASBOURG-ENSA Bib. électr.
674956301;FR-674956301;TRUCHETERSHEIM-BDP Bas Rhin
674956401;FR-674956401;TRUCHTERSHEIM-Médiathèque
675076301;FR-675076301;VILLE-BDP Annexe
675385301;FR-675385301;Wingen-sur-Moder-Musée Lalique
675446201;FR-675446201;WISSEMBOURG-Médiathèque
680046201;FR-680046201;ALTKIRCH-Musée du Sungau
680366201;FR-680366201;BIESHEIM-Médiathèque
680635401;FR-680635401;CERNAY-Sté hist. et archéol.
680636201;FR-680636201;CERNAY-Médiathèque
680662101;FR-680662101;COLMAR-BU
680662301;FR-680662301;COLMAR-INRA
680662302;FR-680662302;COLMAR-BU Educ. Enseignement
680665101;FR-680665101;COLMAR-Archives Municipales
680665102;FR-680665102;COLMAR-Archives Départementale
680665302;FR-680665302;COLMAR-Musée Unterlinden
680665401;FR-680665401;COLMAR-Sté Hist.Naturelle
680666101;FR-680666101;COLMAR-BM
680666201;FR-680666201;COLMAR-Méd. Edmond Gerrer
680666301;FR-680666301;COLMAR-BDP Haut Rhin
681125201;FR-681125201;GUEBWILLER-Musée Deck
681125401;FR-681125401;GUEBWILLER-Bib. CDHF
681126201;FR-681126201;GUEBWILLER-Méd. municipale
681546201;FR-681546201;ILLZACH-Bédéthèque
681642301;FR-681642301;KIENTZHEIM-CEEJA
681666201;FR-681666201;KINGERSHEIM-BM
682242101;FR-682242101;MULHOUSE BU Illberg
682242103;FR-682242103;MULHOUSE-BUSIM
682242104;FR-682242104;MULHOUSE-ENSCMu
682242105;FR-682242105;MULHOUSE-SCD Droit/Sc. éco.
682242201;FR-682242201;MULHOUSE-IUT
682242205;FR-682242205;MULHOUSE-Labo. maths
682242208;FR-682242208;MULHOUSE-SCUIO-IP
682242301;FR-682242301;MULHOUSE-IS2M
682245101;FR-682245101;MULHOUSE-Archives Municipales
682245102;FR-682245102;MULHOUSE-Affaires Juridiques
682245103;FR-682245103;MULHOUSE-Musee Impression etoffe
682245104;FR-682245104;MULHOUSE-HEAR
682245203;FR-682245203;MULHOUSE-SUAC
682245204;FR-682245204;MULHOUSE-Bib. Musée EDF
682245302;FR-682245302;MULHOUSE-Musée Nat.Automobile
682245303;FR-682245303;MULHOUSE-Bib.Bonne Nouvelle
682245402;FR-682245402;MULHOUSE-SIM
682246101;FR-682246101;MULHOUSE-BM
682249901;FR-682249901;MULHOUSE-Bib. numérique
682265401;FR-682265401;MUNSTER-Soc. hist. val et ville
682716201;FR-682716201;RIEDISHEIM-BM
682785101;FR-682785101;Rixheim-Musée du papier peint
682874001;FR-682874001;ROUFFACH-Lycée Agricole/Vitico
682875101;FR-682875101;ROUFFACH-Archives Municipales
682875201;FR-682875201;ROUFFACH-CHS
682876401;FR-682876401;ROUFFACH-Médiathèque
682946201;FR-682946201;SAINTE-CROIX-AUX-MINES-Médiath
682976201;FR-682976201;ST LOUIS-Mediatheque municipale
682985301;FR-682985301;STE-MARIE-AUX-MINES-Bib. FPM
683156301;FR-683156301;SOULTZ-Médiathèque dep. Anne
683345101;FR-683345101;THANN-Archives Municipales
683346201;FR-683346201;THANN-Médiathèque
683425101;FR-683425101;Uffholtz-Abri-Mémoire
683744001;FR-683744001;WINTZENHEIM-Lycée Agricole
683756201;FR-683756201;WITTELSHEIM-BM
690105101;FR-690105101;L'ARBRESLE-Maternité-Physiopat
690105401;FR-690105401;L'ARBRESLE-Couvent
690276201;FR-690276201;BRIGNAIS-Méd. municipale
690292101;FR-690292101;LYON2-BRON-BU
690292205;FR-690292205;BRON-Psychologie psychopathol.
690292208;FR-690292208;LYON2/BRON-IUT
690292301;FR-690292301;BRON-Ecoles militaires Santé
690295101;FR-690295101;BRON-CHS Vinatier-CRA
690295201;FR-690295201;BRON-C.Et.Tunnels
690295205;FR-690295205;BRON-CHS Vinatier-Bib.médicale
690295206;FR-690295206;BRON-Centre doc. IFSI - IFCS
690296201;FR-690296201;BRON-Médiathèque J.Prévost
690296301;FR-690296301;BRON-Médiathèque dep.
690342301;FR-690342301;CALUIRE-ET-CUIRE-ISFEC St Julien
690346201;FR-690346201;CALUIRE-ET-CUIRE-BM
690406201;FR-690406201;CHAMPAGNE/MONT D'OR-Médiath.
690812301;FR-690812301;LYON-Ecole Centrale
690812302;FR-690812302;LYON-emlyon business school
690812303;FR-690812303;ECULLY-GATE
690816201;FR-690816201;ECULLY-BM
690896201;FR-690896201;FRANCHEVILLE-BM
690916201;FR-690916201;GIVORS-Médiathèque municipal
691156301;FR-691156301;LIMAS-Médiathèque dep.
691165301;FR-691165301;LIMONEST-METRAVIB RDS
691165401;FR-691165401;LIMONEST-Seminaire du Prado
691235201;FR-691235201;LYON-Hôp. St-Jean-de-Dieu-Bibl
691272301;FR-691272301;MARCY L'ETOILE-Ec.Nat.Vétéri
691496201;FR-691496201;OULLINS-BM
691526201;FR-691526201;PIERRE BENITE-Méd. E. Triolet
691546201;FR-691546201;POLLIONNAY-Médiathèque
691912301;FR-691912301;ST CYR/MONT D'OR-ENS Police
